* heat of formation of the varius benson group
*    --------------------------------------------
*
* this file is read up to the keyword END.
* Comment line (* as first character) can be placed  
* everywhere in the file.
*
*OLD Format of the file is fixed : a21,1x,f10.3 
*OLD Benson group [21] + 1X [1] + value [10]
*
* !!NEW FORMAT!!
* Format of the file is fixed : a24,1x,f10.3 
*   Benson group [24] + ' ' + value [10]
*
* data have 3 origins : 
*     - the original data from Benson
*     - additional data given in the SAPRC99 documentation
*     - some crude estimates performed to complete the database.
*    These last data need to be revisited and additional work is
*    required.
*
* data from benson
*    ----------------
C*_(C)                    39.10
C*_(C)(C)                 40.95
C*_(C)(C)(C)              42.60
C*_(C)(O)                 35.10
C*_(CO)                   37.90
C_(CO*)                   -5.40
C_(CO*)(C)                -0.30
C_(CO*)(C)(C)              2.60
C_(C)                    -10.20
C_(C)(C)                  -4.93
C_(C)(C)(C)               -1.90
C_(C)(C)(C)(C)             0.50
C_(C)(C)(C)(Cd)            1.68
C_(C)(C)(C)(CO)            1.40
C_(C)(C)(C)(NO2)         -11.70
C_(C)(C)(C)(O)            -6.60
C_(C)(C)(C)(O*)            8.60
C_(C)(C)(Cd)              -1.48
C_(C)(C)(CO)              -1.70
C_(C)(C)(NO2)            -13.60
C_(C)(C)(O)               -7.20
C_(C)(C)(O)(O)           -18.60
C_(C)(C)(O*)               7.80
C_(C)(C*)                 -4.95
C_(C)(Cd)                 -4.76
C_(C)(Cd)(O)              -6.50
C_(C)(CO)                 -5.20
C_(C)(NO2)               -14.40
C_(C)(O)                  -8.10
C_(C)(O)(O)              -16.30
C_(C)(O)(O)(O)           -29.60
C_(C)(O*)                  6.10
C_(C*)                   -10.08
C_(Cd)                   -10.20
C_(Cd)(Cd)                -4.29
C_(Cd)(CO)                -3.80
C_(CO)                   -10.20
C_(CO)(CO)                -7.20
C_(O)                    -10.20
C_(O)(O)                 -16.20
Cd_(C)(C)(Cd)             10.34
Cd_(C)(Cd)                 8.59
Cd_(C)(Cd)(Cd)             8.88
Cd_(C)(Cd)(CO)             7.50
Cd_(C)(Cd)(O)             10.30
Cd_(Cd)                    6.26
Cd_(Cd)(Cd)                6.78
Cd_(Cd)(Cd)(Cd)            4.60
Cd_(Cd)(Cd)(O)             8.90
Cd_(Cd)(CO)                5.00
Cd_(Cd)(CO)(O)            11.60
Cd_(Cd)(O)                 8.60
CO_(C)                   -29.10
CO_(C)(C)                -31.40
CO_(C)(C*)               -31.40
CO_(C)(CO)               -29.20
CO_(C)(O)                -35.10
CO_(Cd)                  -29.10
CO_(CO)                  -25.30
CO_(CO)(O)               -29.30
CO_(O)                   -32.10
CO_(O)(O)                -29.70
O_(C)                    -37.10
O_(C)(C)                 -23.20
O_(C)(C*)                -23.20
O_(C)(Cd)                -30.50
O_(C)(CO)                -43.10
O_(C)(NO2)               -19.40
O_(C)(O)                  -4.50
O_(C*)                   -37.90
O_(Cd)(Cd)               -33.00
O_(Cd)(CO)               -45.20
O_(CO)                   -58.10
O_(CO)(CO)               -46.50
O_(CO)(O)                -19.00
O_(NO2)(O)                 4.00
O_(O)                    -16.30
O_(O)(O)                  14.70
CO*_(C)                    0.00
NO2_(C)                    0.00
NO2_(O)                    0.00
ONO2_(C)                   0.00
* data taken from the SAPRC99 documentation
*    ---------------------------------------
CO*_(O)                   -4.20
CO*_(ONO2)               -19.40
C*_(C)(C)(CO)             42.25
C*_(C)(C)(O)              31.50
C*_(C)(C)(ONO2)           12.10
C*_(C)(CO)                38.58
C*_(C)(CO)(O)             32.46
C*_(C)(O)(O)              24.50
C*_(C)(ONO2)              15.70
C*_(CO)(O)                34.95
C*_(CO)(ONO2)             15.55
C*_(O)                    35.75
C*_(O)(O)                 29.93
C*_(ONO2)                 16.35
C_(CO*)(C)(C)(C)           5.70
C_(CO*)(C)(ONO2)         -20.53
C_(CO*)(CO)               -2.41
C_(CO*)(O)                -1.76
C_(CO*)(ONO2)            -21.71
C_(C)(C)(C)(C*)           -1.20
C_(C)(C)(C)(ONO2)        -26.00
C_(C)(C)(C)(OO*)           5.50
C_(C)(C)(C*)              -3.60
C_(C)(C)(C*)(O)           -8.90
C_(C)(C)(C*)(ONO2)       -28.30
C_(C)(C)(CO)(CO)          -1.47
C_(C)(C)(CO)(O)           -5.70
C_(C)(C)(CO)(O*)           9.50
C_(C)(C)(CO)(ONO2)       -25.10
C_(C)(C)(O)(O*)           -3.40
C_(C)(C)(O)(ONO2)        -38.00
C_(C)(C)(O)(OO*)          -6.50
C_(C)(C)(O*)(ONO2)       -23.80
C_(C)(C)(ONO2)           -26.60
C_(C)(C)(OO*)              4.90
C_(C)(C*)(CO)             -3.40
C_(C)(C*)(CO)(O)          -8.00
C_(C)(C*)(CO)(ONO2)      -27.40
C_(C)(C*)(O)              -9.50
C_(C)(C*)(ONO2)          -28.90
C_(C)(Cd)(ONO2)          -25.90
C_(C)(CO)(CO)             -4.57
C_(C)(CO)(CO)(O)          -8.57
C_(C)(CO)(O)              -6.32
C_(C)(CO)(O)(O)          -17.70
C_(C)(CO)(O)(O*)          -2.50
C_(C)(CO)(O*)              7.87
C_(C)(CO)(ONO2)          -25.72
C_(C)(NO2)(NO2)           -9.90
C_(C)(O)(O)(ONO2)        -49.00
C_(C)(O)(O*)              -2.10
C_(C)(O)(ONO2)           -35.70
C_(C)(O)(OO*)             -4.20
C_(C)(O*)(ONO2)          -21.50
C_(C)(ONO2)              -27.50
C_(C)(OO*)                 3.34
C_(C*)(CO)                -6.90
C_(C*)(CO)(O)             -8.02
C_(C*)(CO)(ONO2)         -27.42
C_(C*)(O)                 -9.73
C_(C*)(O)(O)             -18.60
C_(C*)(ONO2)             -29.13
C_(Cd)(O)                 -8.05
C_(Cd)(O*)                 5.25
C_(Cd)(OO*)                3.39
C_(CO)(CO)(O)             -9.19
C_(CO)(CO)(O)(ONO2)      -30.58
C_(CO)(CO)(O*)             5.81
C_(CO)(CO)(ONO2)         -28.59
C_(CO)(O)                 -6.95
C_(CO)(O)(O)             -15.42
C_(CO)(O)(O*)             -1.22
C_(CO)(O*)                 7.24
C_(CO)(ONO2)             -26.36
C_(CO)(OO*)                6.05
C_(O)(O)(O)              -26.92
C_(O)(O)(O)(O)           -40.25
C_(O)(O)(O*)             -12.72
