! ======================================================================
! list of species having a particular structure 
! ----------------------------------------------------------------------
!
! This file is read up to the keyword END. Comment line (! as first
! character) can be placed everywhere in the file.
!                                                                                                        
! The format of the line is fixed: the first 6 character is the code 
! for the species. The "formula" start at the position 10 and end at
! position 100. Additional information on the functional group on
! the carbon backbone are given at position 132 to 146.
!
! Special formula must start with a '#' at the first character
! It is also better to use lower case in the formula to avoid any
! confusion with characters "C","O","H" ... used for atom
! Special formulae that do not transcribe the chemical structure 
! should NOT begin with {'C','c','-O'}, i.e. use 'S' to denote 'cis'.
!
! The code of the species is "free". However, it is better to
! avoid a numerical (0-9) at the third position to avoid confusion
! with name given automatically by the generator
!
! ======================================================================
!XC       #lostcarbon                                                                                                               0.0
C2H2     #ethyne
C3H4     #propyne
C4H601   #1-butyne
C4H602   #2-butyne
C3H4dd   #allene                                                                                                                   UU
C50009   #CH2(OH)CdH=Cd(CH3)CH2.                                                                                                   0.UO
C50010   #CH3Cd(=CdH2)CH(OH)CH2(OO.)                                                                                               2.UO
C50011   #CHOCH2Cd(CH3)=CdH2                                                                                                       UD
C50012   #CH3COCH2CdH=CdH2                                                                                                         UK
C50013   #CH2(OH)Cd(CH3)=CdHCH2.                                                                                                   0.UO
C50014   #CH2(OH)CdH=Cd(CH3)CH2.                                                                                                   0.UO
C50015   #CH3Cd(CH2(ONO2))=CdHCH2(OOH)                                                                                             HNU
C50016   #CH3Cd(CH2(ONO2))=CdHCH2(ONO2)                                                                                            NNU
C50017   #CH3Cd(CH2(ONO2))=CdHCH2(O.)                                                                                              1.NU
C50018   #CH3Cd(=CdH2)CO(OO.)                                                                                                      3.UK
C50019   #CHOC.(OO.)CH3                                                                                                            4.D
C50020   #CH2OOG.                                                                                                                  4.
C50021   #CH3C(OO.)(CH2(OH))CHO                                                                                                    2.DO
C50022   #CH3C(OH)(CHO)CH2(OO.)                                                                                                    2.DO
C50023   #CH2OO.
C50024   #CH3COCH.(OO.)                                                                                                            4.K
C50025   #CH2OOB.                                                                                                                  B
C50026   #CH3COCH(OH)CH2(OO.)                                                                                                      2.KO
C50027   #CH3COCH(OO.)CH2(OH)                                                                                                      2.KO
C50028   #CdH2=Cd(CH3)CH.(OO.)                                                                                                     4.U
C50029   #CdH2=CdHC.(OO.)CH3                                                                                                       4.U
C50030   #CdH2=CdHCOCH2(OO.)                                                                                                       2.UK
C50031   #CH3Cd(CH2(OH))=CdHCH2(OO.)                                                                                               2.UO
C50032   #CH3C(OO.)(CH2(OH))CdH=CdH2                                                                                               2.UO
C50033   #CH2(OH)CdH=Cd(CH3)CH2(OO.)                                                                                               2.UO
C50034   #CH2(OH)CH(OO.)Cd(CH3)=CdH2                                                                                               2.UO
C50037   #CH3Cd(=CdH2)CH(OH)CH2(O.)                                                                                                1.UO
C50038   #CH3C(OO.)(CH2(ONO2))CH2CHO                                                                                               2.ND
C50039   #CH3COCH2CHO                                                                                                              DK
C50040   #CH2OOC.                                                                                                                  4.
C50041   #CH3COCH2CH.(OO.)                                                                                                         4.K
C50042   #CH3C(OO.)(CH2(OH))CH2CHO                                                                                                 2.DO
C50043   #CH3Cd(=CdH2)CH2CO(OO.)                                                                                                   3.UK
C50044   #CH3Cd(=CdH2)CH2(OO.)                                                                                                     2.U
C50045   #CH3COCH2CH(OO.)CH2(ONO2)                                                                                                 2.NK
C50046   #CH3COCH2CH.(OO.)                                                                                                         4.K
C50047   #CH3COCH2CH(OO.)CH2(OH)                                                                                                   2.KO
C50048   #CH3Cd(CH2(OH))=CdHCH2(OO.)                                                                                               2.UO
