!!! SPECIES                                             ;   k298    ;     A     ;   n ;   E/R   ; CODE1     ; CODE2     ; CODE3
!
!
CdH2=CdH2                                                      ; 1.55E-18  ; 6.82E-15  ; 0.0 ; 2500.0 ; MJ20KMV000 ;            ;
!
! Acyclic CH2=CHR                                          
!
CdH2=CdHCH3                                                    ; 1.05E-17  ; 5.77E-15  ; 0.0 ; 1880.0 ; MJ20KMV000 ;            ;
CdH2=CdHCH2CH3                                                 ; 1.00E-17  ; 3.55E-15  ; 0.0 ; 1750.0 ; MJ20KMV000 ;            ;
CdH2=CdHCH2CH2CH3                                              ; 1.06E-17  ; 2.13E-15  ; 0.0 ; 1580.0 ; MJ20KMV000 ;            ;
CdH2=CdHCH2CH2CH2CH3                                           ; 9.24E-18  ; 2.07E-17  ; 0.0 ; 1480.0 ; MJ20KMV000 ;            ;
CdH2=CdHCH2CH2CH2CH2CH3                                        ; 1.09E-17  ; 2.76E-17  ; 0.0 ; 1756.0 ; MJ20KMV000 ;            ;
CdH2=CdHCH2CH2CH2CH2CH2CH3                                     ; 1.04E-17  ; 1.04E-17  ; 0.0 ;    0.0 ; MJ20KMV000 ;            ;
CdH2=CdHCH2CH2CH2CH2CH2CH2CH2CH3                               ; 1.15E-17  ; 1.15E-17  ; 0.0 ;    0.0 ; MJ20KMV000 ;            ;
CdH2=CdHCH(CH3)CH3                                             ; 1.05E-17  ; 1.05E-17  ; 0.0 ;    0.0 ; MJ20KMV000 ;            ;
CdH2=CdHCH(CH3)CH2CH3                                          ; 4.83E-18  ; 4.83E-18  ; 0.0 ;    0.0 ; MJ20KMV000 ;            ;
CdH2=CdHCH2CH(CH3)CH3                                          ; 1.00E-17  ; 1.00E-17  ; 0.0 ;    0.0 ; MJ20KMV000 ;            ;          
CdH2=CdHC(CH3)(CH3)CH3                                         ; 5.06E-18  ; 5.06E-18  ; 0.0 ;    0.0 ; MJ20KMV000 ;            ;
!
! Acyclic cis-CHR=CHR                                       
!
CH3Cd/H=Cd\HCH3                                                ; 1.30E-16  ; 3.37E-15  ; 0.0 ;  970.0 ; MJ20KMV000 ; VALUECIS   ;
CH3Cd/H=Cd\HCH2CH3                                             ; 1.30E-16  ; 3.70E-15  ; 0.0 ; 1002.0 ; MJ20KMV000 ; VALUECIS   ;
CH3Cd/H=Cd\HCH2CH2CH3                                          ; 1.10E-16  ; 3.20E-15  ; 0.0 ; 1017.0 ; MJ20KMV000 ; VALUECIS   ;
CH3CH2Cd/H=Cd\HCH2CH3                                          ; 1.45E-16  ; 1.45E-16  ; 0.0 ;    0.0 ; MJ20KMV000 ; VALUECIS   ;
CH3CH2CH2Cd/H=Cd\HCH2CH2CH3                                    ; 9.53E-17  ; 9.53E-17  ; 0.0 ;    0.0 ; MJ20KMV000 ; VALUECIS   ;
CH3CH2CH2CH2Cd/H=Cd\HCH2CH2CH2CH3                              ; 1.16E-16  ; 1.16E-16  ; 0.0 ;    0.0 ; MJ20KMV000 ; VALUECIS   ;
!
! Acyclic trans-CHR=CHR                                      
!
CH3Cd/H=Cd/HCH3                                                ; 2.00E-16  ; 7.00E-15  ; 0.0 ; 1060.0 ; MJ20KMV000 ; VALUETRANS ;
CH3Cd/H=Cd/HCH2CH3                                             ; 1.60E-16  ; 7.10E-15  ; 0.0 ; 1132.0 ; MJ20KMV000 ; VALUETRANS ; 
CH3Cd/H=Cd/HCH2CH2CH3                                          ; 1.50E-16  ; 7.60E-15  ; 0.0 ; 1163.0 ; MJ20KMV000 ; VALUETRANS ;
CH3CH2Cd/H=Cd/HCH2CH3                                          ; 1.77E-16  ; 1.77E-16  ; 0.0 ;    0.0 ; MJ20KMV000 ; VALUETRANS ;
CH3CH2CH2Cd/H=Cd/HCH2CH2CH3                                    ; 1.44E-16  ; 1.44E-16  ; 0.0 ;    0.0 ; MJ20KMV000 ; VALUETRANS ;
CH3CH(CH3)Cd/H=Cd/HCH(CH3)CH3                                  ; 4.15E-17  ; 4.15E-17  ; 0.0 ;    0.0 ; MJ20KMV000 ; VALUETRANS ;
CH3C(CH3)(CH3)Cd/H=Cd/HCH2CH3                                  ; 4.15E-17  ; 4.15E-17  ; 0.0 ;    0.0 ; MJ20KMV000 ; VALUETRANS ;
!
! Acyclic CH2=CR2                                             
!
CdH2=Cd(CH3)CH3                                                ; 1.15E-17  ; 2.92E-15  ; 0.0 ; 1650.0 ; MJ20KMV000 ;            ;
CdH2=Cd(CH3)CH2CH3                                             ; 1.40E-17  ; 4.90E-15  ; 0.0 ; 1741.0 ; MJ20KMV000 ;            ;
CdH2=Cd(CH3)CH2CH2CH3                                          ; 1.30E-17  ; 1.30E-17  ; 0.0 ;    0.0 ; MJ20KMV000 ;            ;
CdH2=Cd(CH3)CH2CH2CH2CH2CH3                                    ; 1.39E-17  ; 1.39E-17  ; 0.0 ;    0.0 ; MJ20KMV000 ;            ;
