! ======================================================================
! photolytic reaction and their associated label and product
! ----------------------------------------------------------
!
! This file is read up to the keyword END. Comment line (! as 1st 
! character) can be placed everywhere in the file.
!
! - first column: gives the formula of the species
! - second column: is the label associated to the reaction (integer)
! - third and fourth: are the formula of the 2 fragmentation products.
! - fifth  : gives the coproduct of the reaction. If no
!   coproduct, then use '-'. The coproduct must be given using the name
!   (i.e. the 6 character name) of the species, not the formula.
! ======================================================================
CH3(ONO2)                     |  100  | CH3(O.)                       | NO2                  | -   ; DUM1JDAT ; 
CH3CH2(ONO2)                  |  200  | CH3CH2(O.)                    | NO2                  | -   ; DUM1JDAT ; 
CH3CH2CH2(ONO2)               |  300  | CH3CH2CH2(O.)                 | NO2                  | -   ; DUM1JDAT ; 
CH3CH(ONO2)CH3                |  400  | CH3CH(O.)CH3                  | NO2                  | -   ; DUM1JDAT ; 
CH3CH2CH2CH2(ONO2)            |  500  | CH3CH2CH2CH2(O.)              | NO2                  | -   ; DUM1JDAT ; 
CH3CH(ONO2)CH2CH3             |  600  | CH3CH(O.)CH2CH3               | NO2                  | -   ; DUM1JDAT ; 
CH3C(ONO2)(CH3)CH3            |  700  | CH3C(O.)(CH3)CH3              | NO2                  | -   ; DUM1JDAT ; 
CH3CH2CH2CH2CH2(ONO2)         |  800  | CH3CH2CH2CH2CH2(O.)           | NO2                  | -   ; DUM1JDAT ; 
CH3CH(ONO2)CH2CH2CH3          |  900  | CH3CH(O.)CH2CH2CH3            | NO2                  | -   ; DUM1JDAT ; 
CH3CH2CH(ONO2)CH2CH3          | 1000  | CH3CH2CH(O.)CH2CH3            | NO2                  | -   ; DUM1JDAT ; 
CH3CH2CH(CH3)CH2(ONO2)        | 1100  | CH3CH2CH(CH3)CH2(O.)          | NO2                  | -   ; DUM1JDAT ; 
CH3(OONO2)                    | 1200  | CH3(OO.)                      | NO2                  | -   ; DUM1JDAT ; 
CH3(OONO2)                    | 1300  | CH3(O.)                       | NO3                  | -   ; DUM1JDAT ; 
CH3CO(OONO2)                  | 1400  | CH3CO(OO.)                    | NO2                  | -   ; DUM1JDAT ; 
CH3CHO                        | 1700  | CH3.                          | CHO.                 | -   ; DUM1JDAT ; 
CH3CH2CHO                     | 1800  | CH3CH2.                       | CHO.                 | -   ; DUM1JDAT ; 
CH3CH2CH2CHO                  | 1900  | CH3CH2CH2.                    | CHO.                 | -   ; DUM1JDAT ; 
CH3CH2CH2CHO                  | 2000  | CdH2=CdH2                     | CH3CHO               | -   ; DUM1JDAT ; 
CH3CH(CH3)CHO                 | 2100  | CH3CH.CH3                     | CHO.                 | -   ; DUM1JDAT ; 
CH3CH2CH2CH2CHO               | 2300  | CH3CH2CH2CH2.                 | CHO.                 | -   ; DUM1JDAT ; 
